detector,rad_type,det_id,filename,signal,proton_co60_ratio
mcp,Co60,56,56_64.dat,1147620456.5,
mcp,Co60,57,57_65.dat,1280045454.0,
mcp,Co60,58,58_66.dat,1277387764.5,
mcp,Co60,59,59_69.dat,1339398764.5,
mcp,Co60,60,60_70.dat,1318891516.0,
mcp,Co60,61,61_71.dat,1243183787.0,
mcp,Co60,62,62_72.dat,1227525206.5,
mcp,Co60,63,63_73.dat,1241411872.0,
mcp,Co60,64,64_74.dat,1269973060.0,
mcp,Co60,65,65_75.dat,1282359240.0,
mcp,Co60,66,66_76.dat,1263693110.0,
mcp,Co60,67,67_77.dat,1257025300.5,
mcp,Co60,68,68_78.dat,1241656416.0,
mcp,Co60,69,69_79.dat,1138491415.5,
mcp,Co60,70,70_80.dat,1256320016.5,
mcp,proton,1,1_4.dat,1083712249.0,0.8288635164934725
mcp,proton,2,2_5.dat,1037159853.5,0.8384648739317285
mcp,proton,3,3_6.dat,1088858040.0,0.8435537124111254
mcp,proton,4,4_7.dat,1084600223.0,0.8420288319998864
mcp,proton,5,5_8.dat,1090356559.0,0.8451222395560137
mcp,proton,6,6_9.dat,1054787789.5,0.843410328972069
mcp,proton,7,7_10.dat,1069656124.5,0.8428400972509377
mcp,proton,8,8_11.dat,994547657.5,0.8374338819269057
mcp,proton,9,9_12.dat,1009368088.0,0.8518438950811382
mcp,proton,10,10_13.dat,1009369642.5,0.8496732118437645
mcp,proton,11,11_14.dat,1123617560.5,0.851035251768073
mcp,proton,12,12_15.dat,1109952834.0,0.8497583363359468
mcp,proton,13,13_16.dat,966737938.5,0.7915462782832594
mcp,proton,14,14_17.dat,951665658.5,0.7914808113025958
mcp,proton,15,15_18.dat,958449586.5,0.7746256064701523
mcp,proton,16,16_19.dat,1003921401.5,0.7656273209835581
mcp,proton,17,17_20.dat,1033631291.0,0.7826023619885434
mcp,proton,18,18_21.dat,979545824.0,0.7841579410515043
mcp,proton,19,19_22.dat,910337559.5,0.7365055188570596
mcp,proton,20,20_25.dat,917431934.0,0.7198458739500981
mcp,proton,21,21_26.dat,934519753.5,0.7230108991600784
mcp,proton,22,22_27.dat,910622474.5,0.7395306063087067
mcp,proton,23,23_28.dat,930257644.5,0.7425242390935237
mcp,proton,24,24_29.dat,917189638.0,0.745545755471766
mcp,proton,25,25_30.dat,900371076.5,0.7056670130496087
mcp,proton,26,26_31.dat,870998927.0,0.6954642069566885
mcp,proton,27,27_32.dat,893777234.5,0.6890169671049502
mcp,proton,28,28_33.dat,859753312.5,0.6779185522236203
mcp,proton,29,29_34.dat,837263651.5,0.6835950289817583
mcp,proton,30,30_35.dat,881733269.0,0.7006367322697306
mcp,proton,31,31_36.dat,850812719.5,0.6498913814037492
mcp,proton,32,32_37.dat,797456117.0,0.6557747748569859
mcp,proton,33,33_38.dat,840361219.0,0.6666860337689521
mcp,proton,34,34_39.dat,821196825.5,0.6568503223321448
mcp,proton,35,35_40.dat,831113395.0,0.670497760224858
mcp,proton,36,36_41.dat,838637404.5,0.6775214757275819
mcp,proton,37,37_42.dat,851384118.0,0.6599834762449923
mcp,proton,38,38_43.dat,801753508.5,0.6607841678451266
mcp,proton,39,39_44.dat,781257189.5,0.6343508322181877
mcp,proton,40,40_47.dat,830636007.0,0.6376247415098274
mcp,proton,41,41_48.dat,779317211.5,0.644146080589439
mcp,proton,42,42_49.dat,795777596.0,0.6499435604950233
mcp,proton,43,43_50.dat,713538809.0,0.5900402154291741
mcp,proton,44,44_51.dat,735359177.0,0.5817636548061523
mcp,proton,45,45_52.dat,756535196.5,0.5868624234804819
mcp,proton,46,46_53.dat,750667821.5,0.5889789151844907
mcp,proton,47,47_54.dat,722737741.5,0.5871375615991117
mcp,proton,48,48_55.dat,730776149.5,0.5871943233843937
mcp,proton,49,49_56.dat,713663969.0,0.536910088640266
mcp,proton,50,50_57.dat,672268453.0,0.5325771566385564
mcp,proton,51,51_58.dat,658483592.5,0.5208265726191212
mcp,proton,52,52_59.dat,663445396.5,0.5218566361241078
mcp,proton,53,53_60.dat,646778920.0,0.5331452417827333
mcp,proton,54,54_61.dat,637228036.0,0.5390246536013552
mcp,proton,55,55_62.dat,620855739.5,0.49830101311488856
mcp,proton,56,56_63.dat,583838773.0,0.508738555236794
mcp,proton,57,57_64.dat,644911511.0,0.5038192268756732
mcp,proton,58,58_65.dat,642718033.0,0.5031502969277111
mcp,proton,59,59_66.dat,680397850.5,0.5079875153938893
mcp,proton,60,60_69.dat,678088864.5,0.5141354359125319
mcp,proton,61,61_70.dat,576078004.0,0.4633892510697616
mcp,proton,62,62_71.dat,548330922.5,0.44669626301478316
mcp,proton,63,63_72.dat,565992291.5,0.455926275771914
mcp,proton,64,64_73.dat,580596167.5,0.4571720344209506
mcp,proton,65,65_74.dat,591621669.0,0.46135408124793487
mcp,proton,66,66_75.dat,592029830.0,0.4684917764567063
mcp,proton,67,67_76.dat,565394725.0,0.44978786407489657
mcp,proton,68,68_77.dat,564216580.0,0.45440636614887836
mcp,proton,69,69_78.dat,524880421.5,0.4610315144708265
mcp,proton,70,70_79.dat,564443402.5,0.44928314051103874
mts,Co60,1,1_3.dat,93918561.0,
mts,Co60,2,2_4.dat,90247006.5,
mts,Co60,3,3_5.dat,87735642.5,
mts,Co60,4,4_6.dat,89243865.0,
mts,Co60,5,5_7.dat,88309182.5,
mts,Co60,6,6_8.dat,87052500.5,
mts,Co60,7,7_9.dat,91930627.5,
mts,Co60,8,8_10.dat,91595508.5,
mts,Co60,9,9_11.dat,86365412.5,
mts,Co60,10,10_12.dat,90234554.0,
mts,Co60,11,11_13.dat,88770958.0,
mts,Co60,12,12_14.dat,82379947.0,
mts,Co60,13,13_15.dat,88492863.0,
mts,Co60,14,14_16.dat,85525034.5,
mts,Co60,15,15_17.dat,87566244.5,
mts,Co60,16,16_18.dat,89213144.0,
mts,Co60,17,17_19.dat,90495206.0,
mts,Co60,18,18_20.dat,87218288.0,
mts,Co60,19,19_21.dat,87476119.5,
mts,Co60,20,20_22.dat,88862842.0,
mts,Co60,21,21_25.dat,87664123.5,
mts,Co60,22,22_26.dat,85623211.5,
mts,Co60,23,23_27.dat,89640265.5,
mts,Co60,24,24_28.dat,86106267.5,
mts,Co60,25,25_29.dat,86694160.0,
mts,Co60,26,26_30.dat,84249395.5,
mts,Co60,27,27_31.dat,87505542.5,
mts,Co60,28,28_32.dat,86033576.0,
mts,Co60,29,29_33.dat,86919829.0,
mts,Co60,30,30_34.dat,89395391.0,
mts,Co60,31,31_35.dat,90145167.5,
mts,Co60,32,32_36.dat,88543559.0,
mts,Co60,33,33_37.dat,91218129.0,
mts,Co60,34,34_38.dat,87971707.5,
mts,Co60,35,35_39.dat,89633527.0,
mts,Co60,36,36_40.dat,89441524.5,
mts,Co60,37,37_41.dat,86274424.5,
mts,Co60,38,38_42.dat,91078331.5,
mts,Co60,39,39_43.dat,89435325.5,
mts,Co60,40,40_44.dat,87894584.0,
mts,Co60,41,41_47.dat,84573969.0,
mts,Co60,42,42_48.dat,90126875.0,
mts,Co60,43,43_49.dat,86856517.0,
